CustomerID,Age,Gender,AnnualIncome,SpendingScore,LastPurchaseDate,PurchaseCategory
1,25,Other,135670.31,41,2021-03-17,Furniture
2,66,Male,95108.48,93,2022-06-06,Sports
3,40,Female,78276.46,70,2022-06-05,Electronics
4,34,Female,74867.45,85,2022-11-29,Grocery
5,42,Other,136194.42,75,2021-06-30,Furniture
6,44,Male,123673.44,89,2023-04-26,Grocery
7,47,Other,41139.37,44,2021-03-25,Clothing
8,59,Other,72382.22,69,2021-05-02,Furniture
9,58,Other,116358.52,75,2020-09-10,Clothing
10,61,Female,79663.93,22,2020-11-19,Clothing
11,25,Male,20907.52,72,2022-07-04,Grocery
12,40,Other,44596.98,92,2020-07-04,Grocery
13,56,Female,46980.19,86,2021-05-02,Furniture
14,37,Other,121914.45,93,2022-11-24,Sports
15,43,Other,78930.59,36,2020-06-26,Grocery
16,40,Other,103810.04,61,2020-08-27,Furniture
17,21,Other,60245.83,67,2021-01-03,Electronics
18,26,Male,120337.7,22,2023-01-28,Furniture
19,20,Female,138886.25,90,2020-07-24,Sports
20,35,Male,96470.58,45,2023-01-21,Sports
21,58,Male,123282.01,51,2021-10-15,Grocery
22,21,Female,83561.4,20,2022-11-19,Clothing
23,55,Female,116147.47,10,2022-05-04,Furniture
24,42,Other,52099.23,30,2022-10-02,Grocery
25,48,Female,30644.51,75,2021-04-04,Grocery
26,29,Female,24299.77,55,2021-12-16,Clothing
27,43,Female,79550.06,78,2021-05-16,Grocery
28,66,Female,38186.93,50,2020-06-12,Clothing
29,51,Male,105363.87,68,2020-07-05,Electronics
30,44,Other,51948.62,4,2022-12-11,Furniture
31,22,Male,105410.67,89,2021-03-16,Grocery
32,54,Other,35765.57,53,2020-02-27,Grocery
33,44,Female,38848.14,22,2020-09-23,Furniture
34,47,Female,148461.69,59,2020-11-24,Sports
35,47,Male,49462.0,83,2020-05-25,Sports
36,31,Female,144683.3,93,2022-11-10,Furniture
37,21,Male,129603.55,11,2021-10-28,Clothing
38,55,Male,134685.95,44,2021-11-19,Sports
39,18,Female,103214.35,99,2022-04-13,Clothing
40,18,Other,55888.12,74,2020-09-26,Furniture
41,56,Male,148302.19,46,2023-02-01,Furniture
42,54,Male,28071.79,82,2021-08-02,Sports
43,42,Female,121723.97,88,2023-10-19,Electronics
44,41,Female,115883.99,1,2022-12-27,Electronics
45,44,Male,143108.64,98,2020-01-21,Sports
46,54,Other,132056.41,15,2023-06-23,Clothing
47,69,Female,45291.14,22,2022-06-19,Sports
48,61,Other,57138.8,23,2020-12-06,Furniture
49,36,Female,84223.71,90,2020-03-12,Clothing
50,26,Other,40015.55,54,2021-07-06,Furniture
51,53,Other,109927.12,77,2021-10-13,Clothing
52,22,Female,59696.91,71,2022-08-02,Furniture
53,20,Male,67359.51,82,2020-06-13,Grocery
54,63,Female,49642.47,28,2023-11-18,Sports
55,66,Female,137051.34,53,2021-10-06,Clothing
56,37,Other,22021.12,17,2021-02-02,Furniture
57,53,Male,61226.24,80,2020-01-07,Furniture
58,26,Female,125567.92,13,2023-09-12,Grocery
59,42,Other,32512.15,77,2020-10-10,Sports
60,64,Female,133697.2,39,2023-03-22,Grocery
61,32,Other,86435.95,38,2023-02-01,Electronics
62,40,Other,46468.43,57,2020-01-07,Furniture
63,50,Male,75419.19,18,2022-12-28,Furniture
64,32,Male,120465.27,2,2020-02-17,Grocery
65,19,Male,29222.91,2,2023-03-15,Sports
66,45,Other,147367.86,24,2022-12-09,Grocery
67,46,Other,96098.06,15,2022-04-07,Sports
68,62,Female,57967.78,90,2022-11-12,Furniture
69,26,Male,133842.36,18,2023-09-11,Furniture
70,28,Male,38202.91,45,2020-05-29,Furniture
71,35,Other,63452.61,40,2021-01-12,Electronics
72,27,Other,119574.59,74,2020-12-12,Clothing
73,43,Male,115367.61,85,2023-11-28,Electronics
74,22,Other,69229.81,71,2020-06-16,Electronics
75,50,Male,62311.05,61,2022-03-18,Grocery
76,30,Female,106703.75,40,2020-10-13,Furniture
77,54,Male,32688.58,82,2020-04-25,Furniture
78,54,Female,108154.32,1,2022-04-01,Grocery
79,68,Female,113802.07,87,2023-12-07,Clothing
80,39,Female,25924.98,89,2020-08-19,Sports
